Location Name,Impressions
Andaman and Nicobar Islands,2
Andhra Pradesh,121
Arunachal Pradesh,3
Assam,162
Bengaluru,0
Bhopal,0
Bihar,359
Chandigarh,25
Chennai,0
Chhattisgarh,73
Dadra and Nagar Haveli and Daman and Diu,5
Delhi,378
Goa,15
Gujarat,571
Gurugram,0
Haryana,200
Himachal Pradesh,26
Hyderabad,0
Jammu and Kashmir,32
Jharkhand,62
Karnataka,327
Kerala,250
Madhya Pradesh,315
Maharashtra,980
Manipur,9
Meghalaya,8
Mizoram,16
Mumbai,0
Nagaland,7
New Delhi,0
Odisha,156
Puducherry,4
Punjab,213
Rajasthan,310
Sikkim,4
Tamil Nadu,339
Telangana,299
Tripura,41
Uttar Pradesh,"1,230"
Uttarakhand,39
West Bengal,420
